Nr;Naam;Brouwerij;Kleur;alcohol
690;Poiluchette brune (La) ;Huyghe;Roodbruin;7,5
459;Polderbier Bitter ;Steedje;;8
460;Polderbier Fruitig ;Steedje;;8
461;Pony-Stout ;Bavik;Donkerbruin;4,5
462;Poorter ;Sterkens;;6,5
463;Poperings Hommelbier ;Van Eecke;Blond;6
464;Poperings Hommelbier ;Van Eecke;;7,5
465;Postel ;De Smedt;;8
466;Postel Abdijbier ;Campina;Donker;7,5
467;Prik Pils ;Roman;;4,9
468;Primus Haacht Pils ;Haacht;Blond;5
469;Primus-Pils Christmas ;Haacht;;5,15
470;Promesse ;Piessens;;7,5
471;Prosit ;Bosteels;Blond;4,8
472;Punch Beer ;Facon;Amber;8
473;Queue de Charrue ;Verhaeghe;;5,2
474;Raf Export ;Contreras;Blond;5
694;Ram‚e ambr‚e ;Brunehaut;Amber;7,5
695;Ram‚e blonde ;Brunehaut;Blond;8
475;Redor Pils ;Dupont;Blond;5
476;Reinbrau ;Alken-Maes;Blond;4
477;Relax ;Huyghe;;
478;R‚serve Marie de Hongrie ;La Binchoise;;8,7
479;Ridder ;Het Sas/Leroy;;5
480;Riva 2000 ;Riva;Blond;6
481;Riva Pils ;Riva;Blond;5
482;Riva Triple ;Riva;Amber;6,75
483;Rochus ;De Ryck;;4,7
484;Rodal ;De Neve;Bruin;3,8
486;Rodea Gueuze ;Eylenbosch;Goudgeel;5
487;Rodea Kriek ;Eylenbosch;Roodachtig;5
488;Rodenbach ;Rodenbach;Donker;4,6
489;Rodenbach Grand Cru ;Rodenbach;Donker;5,1
485;Rofonc‚e ;Riva;Donker;5
490;Roman Oudenaards ;Roman;Bruin;5
491;Romy Export ;Roman;;4,5
492;Romy Luxe ;Roman;Blond;5,6
493;Romy Pils ;Roman;Blond;5,2
494;Rose de Cambrinus ;Cantillon;;5
495;Routiers ;Isebaert;;1
496;Royal Ale ;R. van Roy en Cie.;Bruin;5,1
497;Royale Blonde ;Brasserie de Silly;;1,2
498;Safir ;Artois;Blond;5
499;Safir ;Dendria;Blond;4,7
687;Saint Feuillen blonde ;Brasserie du Bocq;Blond;7,5
713;Saint Monom Ambr‚e ;Saint Monom;Amber;6,5
715;Saint Monom au miel ;Saint Monom;Amber;8
714;Saint Monom brune ;Saint Monom;Witbier;7,5
500;Saint-Ghislain ;Dupont;;8,5
501;Saint-Hubert Blonde ;Maire;Blond;6,5
502;Saison ;Dupont;Amber;5
503;Saison 1900 ;Lefebvre;Amber;5
504;Saison d Erez‚e ;Fant“me;;7
505;Saison de Pipaix ;Brasserie a Vapeur;Amber;5
506;Saison de Silly ;Brasserie de Silly;Amber;5
507;Saison Dupont ;Dupont;;6,5
508;Saison Dupont Biologique ;Dupont;;7,5
509;Saison Regal ;Brasserie du Bocq;Amber;5,2
510;Salvator ;R. van Roy en Cie.;Donkerbruin;7,5
511;Sanctus ;Moortgat;Donkerbruin;7
512;Sas Export ;Het Sas/Leroy;Blond;4,5
513;Sas Pils ;Het Sas/Leroy;Blond;4,5
514;Sasbr„u ;Het Sas/Leroy;Blond;6
515;Satan fonc‚e ;De Block;;8
516;Satan gold ;De Block;;8
517;Schavuit ;Callewaert;;8
518;Schwendi ;Devaux;;6,5
519;Scotch ;Wielemans-Cueppens;Donker;7,5
520;Scotch de Silly ;Brasserie de Silly;Donkerbruin;7,7
521;Seule ;Slaghmuylder;Amber;5,7
522;Sezoens ;Martens;Blond;6
523;Sezoens Quattro ;Martens;;8
524;Sint-Bernardus Tripel ;Sint-Bernardus;;7
525;Skipper Ale ;Campina;Amber;5
526;Slag Lagerbier ;Slaghmuylder;Blond;4,7
527;Sloeber ;Roman;Blond;7
528;SorciŠres de Ellezeles ;Voisin;;6,8
529;Spanik Gueuze ;Eylenbosch;Goudgeel;5
530;Sparta Pils ;Bios;Helder;5
531;Speciaal ;Callewaert;;
532;Speciaal Natuurbier ;Strubbe;;4,9
533;Special ;De Biertoren;;0,8
534;Special Alken ;Alken-Maes;;1,4
535;Special Block 6 ;De Block-Joostens;Roodƒtre;5,5
536;Special Blond ;Verlinden;Blond;0,8
537;Special De Ryck ;De Ryck;Blond;4,5
538;Special Katje ;Het Sas/Leroy;Amber;6
539;Sp‚cial Noel ;La Binchoise;;9
540;Special Roman ;Roman;Bruin;5,5
541;Speciale Aerts ;Palm;Amber;4,8
542;Speciale Baf ;De Smedt;Amber;5
543;Sp‚ciale d Avignon ;Brasserie d Avignon;;
544;Sp‚ciale Gigi ;Brasserie Gigi;;2
545;Speciale Neval ;De Neve;Amber claire;3,7
546;Speciale Op-Ale ;De Smedt;Amber;5
547;Speciale Palm ;Palm;Amber;4,5
548;Speciale Stop ;Bavik;Amber;4,5
549;St. Benedict ;De Kluis;Donkerrood;6,5
550;St. BenoŒt blonde ;Brasserie du Bocq;Blond;7,4
551;St. BenoŒt brune ;Brasserie du Bocq;;7,4
552;St. Feuillien ;Brasserie du Bocq;Blond;6,4
554;St. Feuillien blonde ;Brasserie du Bocq;Blond;7,8
555;St. Feuillien bruin ;Friart;Bruin;6,5
553;St. Feuillien brune ;Friart;Bruin;6,5
556;St. Feuillien brune ;Brasserie du Bocq;;7,4
557;St. Feuillien Cuv‚e de No‰l ;Brasserie du Bocq;;9
558;St. Feuillien Cuv‚e de No‰l ;Friart;;9
559;St. Paul Double ;Sterkens;;6,9
560;St. Paul Triple ;Sterkens;;7,6
561;St. Sebastiaan Dark ;Sterkens;;6,9
562;St. Sebastiaan Grand Cru ;Sterkens;;7,6
563;St. Sixtus Abdij Abt ;Sint-Bernardus;Donker;10,4
564;St. Sixtus Abdij Pater ;Sint-Bernardus;Donker;7,1
565;St. Sixtus Abdij Prior ;Sint-Bernardus;Donker;8,3
566;Star Blond ;Haacht;;0,4
567;Star Bruin ;Haacht;Bruin;0,4
568;Steedje ;Steedje;;7,9
569;Steedje Special ;Steedje;;7,9
570;Steenbrugge Dubbel ;De Gouden Boom;Amber;6,5
571;Steenbrugge Tripel ;De Gouden Boom;;9
572;Steendonk ;Palm;Witbier;4,9
573;Stella Artois ;Artois;Blond;5,75
574;Stella Artois light ;Artois;Blond;3,5
575;Stella Artois N.A. ;Artois;Blond;0,5
576;Ster Ale ;Sterkens;Amber;4,7
577;Ster Christmas ;Sterkens;Donker amber;6,3
578;Stille Nacht ;De Dolle Brouwers;Roodachtig-bruin;9
579;Stoeren Bonk ;Bios;;6,2
580;Stout ;Louwaege;;4,8
581;Stout Extra ;Lefebvre;;6,5
582;Straffe Hendrik ;Straffe Hendrik;Blond;7,5
583;Stropken Grand Cru ;Slaghmuylder;Amber;7
584;Strubbe Stout ;Strubbe;;5
585;Student ;Lefebvre;;4,5
586;Sublim ;Piessens;;8,5
587;Sublim Light ;Piessens;;5
588;Super ;Voisin;Amber;4,5
589;Super 64 ;Brasserie de Silly;Amber;5,3
590;Super Brune ;Brasserie Gigi;;1,2
591;Super des Fagnes ;Brasserie du Bocq;;8,1
592;Super extra ;Facon;;3
593;Super Pils ;Bavik;Blond;4,5
594;Super Pils ;Strubbe;Blond;4,3
595;Supergeuze ;Cantillon;;5
596;Supra ;Artois;;5
597;Supra ;Dendria;Blond;4,7
598;T.V. ;R. van Roy en Cie.;Geel;3,3
599;Tafel Hell ;Slaghmuylder;;
600;Tafelstout ;Martens;;0,5
601;Teutenbier ;De Teut;;7,5
602;Titje ;Brasserie de Silly;;5
603;Toison D'Or ;Het Anker;Blond;7
604;Tongerlo Dubbel ;Haacht;;6,5
605;Tongerlo Tripel ;Haacht;;8
606;Tonneke ;Contreras;Amber;5
607;Tourtel ambr‚e ;Alken-Maes;Amber;0,5
608;Tourtel blonde ;Alken-Maes;Blond;0,5
609;Tourtel bruin ;Alken-Maes;Bruin;0,5
610;Trappistenbier Dubbel ;Trappisten;Donker;6,3
611;Trappistenbier Extra ;Trappisten;;4
612;Trappistenbier Tripel ;Trappisten;Amber;8,1
613;Trappistenbier Westvleteren Abt ;Sint-Sixtusabdij;Donkerrood;10,5
614;Trappistenbier Westvleteren Extra ;Sint-Sixtusabdij;Donkerrood;8,5
615;Trappistenbier Westvleteren Special ;Sint-Sixtusabdij;Donkerrood;6,2
618;Trappistes Rochefort 10 ;Notre Dame de St.-Remy;Bruin;12
616;Trappistes Rochefort 6 ;Notre Dame de St.-Remy;Bruin;7,5
617;Trappistes Rochefort 8 ;Notre Dame de St.-Remy;Bruin;9,5
619;Trial Alken ;Alken-Maes;;3,7
620;Trio ;De Koninck;;7,5
621;Tripel ;Verhaeghe;;
622;Tripel Loo ;Vieille Villers;;6,5
623;Triple Block ;Brasserie de Silly;;3,2
624;Triple Bock ;Bavik;;
625;Triple Floreffe ;Lefebvre;Amber;8
626;Triple Loo ;Isebaert;;7,5
627;Triple Moine ;Brasserie du Bocq;Blond;7,2
628;Triple Villers ;Vieille-Villers;Amber;8,9
629;Triplor ;Roman;;3,5
630;Type de Bruin ;R. van Roy en cie;;1,5
631;Ulricher Pils ;Girardin;Blond;5
632;Unic Gigi ;Brasserie Gigi;;3
633;Upper 19 ;R. van Roy en Cie.;Blond;7,5
634;Urtyp ;Piedboeuf;Blond;6,1
635;Vaartlander ;Brouwerij Sint-Niklaas;;6,4
636;Val-Dieu Triple ;Van Honsebrouck;;9
637;Vapeur L‚gŠre Blonde ;Brasserie … Vapeur;;4,5
638;Vedett ;Moortgat;Blond;5,5
639;Vera Pils ;Verhaeghe;Blond;4,8
640;Very Diest ;Haacht;;1
641;Vichtenaar ;Verhaeghe;Donkerbruin;4,5
642;Vieille Saison ;Voisin;Amber;5,5
643;Vieille Salme ;Brasserie d Achouffe;;8,4
644;Vieille Villers ;Vieille-Villers;Donker;8
645;Vieux Bruges Framboos ;Van Honsebrouck;;5
646;Vieux Bruges Gueuze ;Van Honsebrouck;;5
647;Vieux Bruges Kriek ;Van Honsebrouck;Roodachtig;5
700;Vieux Bruxelles ;Van Honsebrouck;Rood;4
648;Vieux-Temps ;St. Guibert;Amber;4,6
649;Vigneronne ;Cantillon;;5
650;Villers St. Ghislain ;Brasserie de Silly;;8,5
651;Vlaams Wit/Blanch-ke ;Van Honsebrouck;Witbier;4,6
652;Vlaskop ;Strubbe;Witbier;5,5
653;Vondel ;Riva;Donker;8,5
655;Watneys Christmas ;Alken-Maes;Donker;7,7
656;Watneys Pale-Ale ;Alken-Maes;Lichtbruin;5,4
654;Watneys Red Barrel ;Alken-Maes;;6
657;Watneys Scotch ;Alken-Maes;Donker;8
658;Watneys Stout ;Alken-Maes;Donker;3,6
659;Watou s Wit ;Van Eecke;;5
684;Westmalle Double ;Abbaye de Westmalle;Bruin;6
688;Westmalle Triple ;Abbaye de Westmalle;Goudgeel;9
660;Whitbread Extra Stout ;Martinas;;4,5
661;Whitbread Pale Ale ;Martinas;;4,5
662;Wiels ;Wielemans-Cueppens;Blond;5,25
663;Wiels ;Artois;Blond;5
746;Wieze Christmas ;;;8
664;Wieze Pils ;R. van Roy en Cie.;Geel;4,7
743;Wieze Tripel Blond ;;;8
744;Wieze Tripel Blond ;;;8
745;Wieze Tripel zoet bruin ;;;8
665;Wilson Mild ;Bios;;5,2
666;Witkap Pater/Dubbele Pater ;Slaghmuylder;Bruin;5,4
667;Witkap Pater/Stimulo ;Slaghmuylder;Blond;5,4
668;Witkap Pater/Tripel ;Slaghmuylder;Blond;6,5
669;Wonderbier ;Moortgat;Blond;3,5
670;Wonderlight ;Moortgat;;1,9
671;X-Mas ;R. van Roy en Cie.;Donkerbruin;7,5
672;XMas 8 ;Brasserie du Bocq;Bruin;8
673;Yperman ;Het Sas/Leroy;;6
674;Zeelse houten kop ;Huyghe;Amber;6,5
675;Zottegems ;Cromb‚;Donker;4,5
676;Zottegemse Grand Cru ;Cromb‚;Donker;8,4
677;Zulte oud bruin ;Alken-Maes;Bruin;4
